超级马力欧1.gb,chao ji ma li ou 1.gb
超级马力欧2.gbc,chao ji ma li ou 2.gbc
超级马力欧4.gb,chao ji ma li ou 4.gb
超级马力欧Deluxe.gbc,chao ji ma li ou Deluxe.gbc
超级马力欧网球.gbc,chao ji ma li ou wang qiu.gbc
超级马力欧医生.gb,chao ji ma li ou yi sheng.gb
超级中国人.gb,chao ji zhong guo ren.gb
第1次超级机器人大战.gb,di 1 ci chao ji ji qi ren da zhan.gb
第2次超级机器人大战.gb,di 2 ci chao ji ji qi ren da zhan.gb
俄罗斯方块.gb,e luo si fang kuai.gb
恶魔城1.gb,e mo cheng 1.gb
恶魔城2.gb,e mo cheng 2.gb
恶魔城3.gb,e mo cheng 3.gb
恶魔城外传 王子传奇.gb,e mo cheng wai zhuan wang zi chuan qi.gb
飞龙之拳EX.gbc,fei long zhi quan EX.gbc
孤岛冒险者1.gbc,gu dao mao xian zhe 1.gbc
孤岛冒险者2.gbc,gu dao mao xian zhe 2.gbc
国际象棋.gbc,guo ji xiang qi.gbc
合金弹头.gbc,he jin dan tou.gbc
合金装备 幽灵通天塔.gbc,he jin zhuang bei you ling tong tian ta.gbc
幻想传说 换装迷宫.gbc,huan xiang chuan shuo huan zhuang mi gong.gbc
魂斗罗1.gb,hun dou luo 1.gb
魂斗罗2.gb,hun dou luo 2.gb
机械战警1.gb,ji xie zhan jing 1.gb
机械战警2.gb,ji xie zhan jing 2.gb
机械战警对终结者.gb,ji xie zhan jing dui zhong jie zhe.gb
街头霸王II.gb,jie tou ba wang II.gb
街头霸王ZERO.gbc,jie tou ba wang ZERO.gbc
街头赛车.gb,jie tou sai che.gb
金田一少年事件簿10周年.gbc,jin tian yi shao nian shi jian bu 10 zhou nian.gbc
金庸群侠传.gbc,jin yong qun xia chuan.gbc
口袋妖怪 黄.gb,kou dai yao guai huang.gb
洛克人1.gb,luo ke ren 1.gb
洛克人2.gb,luo ke ren 2.gb
洛克人3.gb,luo ke ren 3.gb
洛克人4.gb,luo ke ren 4.gb
洛克人5.gb,luo ke ren 5.gb
洛克人X1.gbc,luo ke ren X1.gbc
洛克人X2.gbc,luo ke ren X2.gbc
冒险岛1.gb,mao xian dao 1.gb
冒险岛2.gb,mao xian dao 2.gb
棉花小魔女.gbc,mian hua xiao mo nv.gbc
牧场物语1.gbc,mu chang wu yu 1.gbc
牧场物语2.gbc,mu chang wu yu 2.gbc
牧场物语3.gbc,mu chang wu yu 3.gbc
能量冲激.gbc,neng liang chong ji.gbc
蚯蚓战士.gb,qiu yin zhan shi.gb
热斗 超能勇士.gb,re dou chao neng yong shi.gb
热斗 斗神传.gb,re dou dou shen chuan.gb
热斗 饿狼传说2.gb,re dou e lang chuan shuo 2.gb
热斗 饿狼传说特别版.gb,re dou e lang chuan shuo te bie ban.gb
热斗 拳皇95.gb,re dou quan huang 95.gb
热斗 拳皇96.gb,re dou quan huang 96.gb
热斗 拳皇97.gb,re dou quan huang 97.gb
热斗 拳皇98.gb,re dou quan huang 98.gb
热斗 拳皇99.gbc,re dou quan huang 99.gbc
热斗 侍魂斩红郎无双剑.gb,re dou shi hun zhan hong lang wu shuang jian.gb
热斗 侍魂.gb,re dou shi hun.gb
热斗 世界英雄2.gb,re dou shi jie ying xiong 2.gb
热血硬派 番外乱斗篇.gb,re xue ying pai fan wai luan dou pian.gb
忍者龙剑传.gb,ren zhe long jian chuan.gb
忍者时代.gbc,ren zhe shi dai.gbc
忍者蛙1.gb,ren zhe wa 1.gb
忍者蛙2.gb,ren zhe wa 2.gb
忍者蛙和双截龙.gb,ren zhe wa he shuang jie long.gb
塞尔达传说1 梦见岛DX.gbc,sai er da chuan shuo 1 meng jian dao DX.gbc
塞尔达传说2 大地之章.gbc,sai er da chuan shuo 2 da di zhi zhang.gbc
塞尔达传说3 时空之章.gbc,sai er da chuan shuo 3 shi kong zhi zhang.gbc
三国志 傲视天下.gbc,san guo zhi ao shi tian xia.gbc
桑塔.gbc,sang ta.gbc
生化尖兵.gbc,sheng hua jian bing.gbc
生化危机 最终逃亡.gbc,sheng hua wei ji zui zhong tao wang.gbc
生化危机.gbc,sheng hua wei ji.gbc
圣剑传说.gb,sheng jian chuan shuo.gb
双截龙1.gb,shuang jie long 1.gb
双截龙2.gb,shuang jie long 2.gb
双截龙3.gb,shuang jie long 3.gb
太空战士4.gb,tai kong zhan shi 4.gb
坦克大战.gb,tan ke da zhan.gb
吞食天地1 赤壁之战.gbc,tun shi tian di 1 chi bi zhi zhan.gbc
吞食天地2 真三国无双.gbc,tun shi tian di 2 zhen san guo wu shuang.gbc
吞食天地 三国英雄传.gb,tun shi tian di san guo ying xiong chuan.gb
瓦力欧大陆1.gb,wa li ou da lu 1.gb
瓦力欧大陆2.gbc,wa li ou da lu 2.gbc
瓦力欧大陆3.gbc,wa li ou da lu 3.gbc
仙剑奇侠传.gbc,xian jian qi xia chuan.gbc
星海传说.gbc,xing hai chuan shuo.gbc
幸运的卢克.gbc,xing yun de lu ke.gbc
星之卡比1.gb,xing zhi ka bi 1.gb
星之卡比2.gb,xing zhi ka bi 2.gb
异形战机1.gb,yi xing zhan ji 1.gb
异形战机2.gb,yi xing zhan ji 2.gb
异形战机DX.gbc,yi xing zhan ji DX.gbc
银河战士2.gb,yin he zhan shi 2.gb
勇者斗恶龙怪兽篇1 特瑞的仙境.gbc,yong zhe dou e long guai shou pian 1 te rui de xian jing.gbc
勇者斗恶龙怪兽篇2 鲁卡的旅行.gbc,yong zhe dou e long guai shou pian 2 lu ka de lv xing.gbc
宇宙巡航机.gb,yu zhou xun hang ji.gb
终结者2 街机.gb,zhong jie zhe 2 jie ji.gb
终结者2 审判日.gb,zhong jie zhe 2 shen pan ri.gb
重装机兵.gbc,zhong zhuang ji bing.gbc
